qid,relation_id,relation_labels
Q247643,"dict_keys(['present in work', 'part of the series', 'derivative work', 'notable work', 'filmography', 'main subject'])","dict_values(['P1441', 'P179', 'P4969', 'P800', 'P1283', 'P921'])"
Q6135854,dict_keys([]),dict_values([])
Q4021138,dict_keys([]),dict_values([])
Q184622,"dict_keys(['author', 'director', 'screenwriter', 'field of work', 'named after', 'cast member', 'creator', 'depicts', ""category's main topic"", 'influenced by', 'main subject', 'category combines topics', 'film editor', 'different from', 'after a work by'])","dict_values(['P50', 'P57', 'P58', 'P101', 'P138', 'P161', 'P170', 'P180', 'P301', 'P737', 'P921', 'P971', 'P1040', 'P1889', 'P1877'])"
Q2405480,"dict_keys(['has part(s)', 'instance of', 'occupation', 'field of work', 'is a list of', 'said to be the same as', 'practiced by', 'notable work', 'main subject', 'category combines topics', 'facet of', 'Wikidata item of this property', 'template has topic', 'different from', 'members have occupation', 'subclass of', ""category's main topic"", 'item for this sense', 'eligible recipient', 'performer'])","dict_values(['P527', 'P31', 'P106', 'P101', 'P360', 'P460', 'P3095', 'P800', 'P921', 'P971', 'P1269', 'P1629', 'P1423', 'P1889', 'P3989', 'P279', 'P301', 'P5137', 'P8115', 'P175'])"
Q145410,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q4921907,dict_keys([]),dict_values([])
Q1698,"dict_keys(['child', 'father', 'spouse', 'author', 'director', 'screenwriter', 'composer', 'named after', 'performer', 'contributor to the creative work or subject', 'main subject', 'cast member', 'lyrics by', 'producer', 'sibling', 'unmarried partner', 'partner in business or sport', 'category combines topics', ""category's main topic"", 'influenced by', 'adapted by', 'depicts', 'dedicated to'])","dict_values(['P40', 'P22', 'P26', 'P50', 'P57', 'P58', 'P86', 'P138', 'P175', 'P767', 'P921', 'P161', 'P676', 'P162', 'P3373', 'P451', 'P1327', 'P971', 'P301', 'P737', 'P5202', 'P180', 'P825'])"
Q237514,"dict_keys(['author', 'mother', 'spouse', 'child', 'named after', 'creator', 'characters', ""category's main topic"", 'main subject', 'winner', 'relative', 'after a work by', 'sibling'])","dict_values(['P50', 'P25', 'P26', 'P40', 'P138', 'P170', 'P674', 'P301', 'P921', 'P1346', 'P1038', 'P1877', 'P3373'])"
Q3738651,dict_keys(['follows']),dict_values(['P155'])
Q388408,dict_keys([]),dict_values([])
Q93204,"dict_keys(['depicts', 'subclass of', 'instance of', ""category's main topic"", 'field of work', 'occupation', 'movement', 'genre', 'significant event', 'interested in', 'main subject', 'item for this sense', 'product or material produced', 'subject has role', 'category contains', 'facet of', 'category combines topics', 'is a list of', 'industry', 'field of this occupation', 'opposite of', 'form of creative work'])","dict_values(['P180', 'P279', 'P31', 'P301', 'P101', 'P106', 'P135', 'P136', 'P793', 'P2650', 'P921', 'P5137', 'P1056', 'P2868', 'P4224', 'P1269', 'P971', 'P360', 'P452', 'P425', 'P461', 'P7937'])"
Q3643721,dict_keys(['has part(s)']),dict_values(['P527'])
Q7063408,"dict_keys(['member of sports team', 'winner', 'participating team', 'has part(s)', ""category's main topic"", 'supported sports team', 'occupant', 'category combines topics'])","dict_values(['P54', 'P1346', 'P1923', 'P527', 'P301', 'P6758', 'P466', 'P971'])"
Q707230,"dict_keys(['author', 'named after'])","dict_values(['P50', 'P138'])"
Q590103,"dict_keys(['genre', 'subclass of', 'main subject', 'category combines topics'])","dict_values(['P136', 'P279', 'P921', 'P971'])"
Q384243,dict_keys([]),dict_values([])
Q71277,dict_keys([]),dict_values([])
Q2227506,dict_keys([]),dict_values([])
Q101625,"dict_keys(['item for this sense', 'demonym of', 'place of birth', 'place of death', 'place of burial', 'located in the administrative territorial entity', 'capital', 'educated at', 'owned by', 'named after', 'location', 'headquarters location', 'depicts', 'twinned administrative body', 'residence', 'work location', 'place served by transport hub', 'primary destinations', 'category combines topics', 'place of publication', ""category's main topic"", 'narrative location', 'main subject', ""Wikimedia portal's main topic"", 'start point', 'filming location', 'destination point', 'facet of', 'significant place', 'location of creation', 'applies to jurisdiction'])","dict_values(['P5137', 'P6271', 'P19', 'P20', 'P119', 'P131', 'P36', 'P69', 'P127', 'P138', 'P276', 'P159', 'P180', 'P190', 'P551', 'P937', 'P931', 'P1302', 'P971', 'P291', 'P301', 'P840', 'P921', 'P1204', 'P1427', 'P915', 'P1444', 'P1269', 'P7153', 'P1071', 'P1001'])"
Q2321544,dict_keys([]),dict_values([])
Q5667368,"dict_keys(['spouse', 'child'])","dict_values(['P26', 'P40'])"
Q25989,"dict_keys(['located in time zone', 'main subject', 'said to be the same as'])","dict_values(['P421', 'P921', 'P460'])"
Q734861,"dict_keys(['child', 'characters', 'relative', 'sibling', 'based on'])","dict_values(['P40', 'P674', 'P1038', 'P3373', 'P144'])"
Q55442,"dict_keys(['director', 'screenwriter', 'cast member', 'category combines topics', 'signatory'])","dict_values(['P57', 'P58', 'P161', 'P971', 'P1891'])"
Q3986646,dict_keys([]),dict_values([])
Q590145,dict_keys(['part of the series']),dict_values(['P179'])
Q438503,"dict_keys(['genre', 'subclass of', ""category's main topic"", 'field of work', 'facet of'])","dict_values(['P136', 'P279', 'P301', 'P101', 'P1269'])"
Q7749083,dict_keys(['part of']),dict_values(['P361'])
Q36322,"dict_keys(['author', 'child', 'creator', 'depicts', 'influenced by', 'screenwriter', 'named after', 'field of work', 'main subject', 'Wikidata property example', 'after a work by', 'model item', ""category's main topic"", 'characters', 'inspired by', 'category combines topics', ""Wikimedia portal's main topic"", 'facet of', 'relative', 'sibling', 'significant person', 'different from'])","dict_values(['P50', 'P40', 'P170', 'P180', 'P737', 'P58', 'P138', 'P101', 'P921', 'P1855', 'P1877', 'P5869', 'P301', 'P674', 'P941', 'P971', 'P1204', 'P1269', 'P1038', 'P3373', 'P3342', 'P1889'])"
Q234472,dict_keys(['cast member']),dict_values(['P161'])
Q1530721,"dict_keys(['employer', 'commissioned by', 'producer', 'production company', 'named after', 'influenced by', 'distributed by', 'operator', 'member of', 'publisher', 'owned by', ""category's main topic"", 'category combines topics', 'part of', 'occupant', 'published in'])","dict_values(['P108', 'P88', 'P162', 'P272', 'P138', 'P737', 'P750', 'P137', 'P463', 'P123', 'P127', 'P301', 'P971', 'P361', 'P466', 'P1433'])"
['Q43'],error,error
Q710600,"dict_keys(['participant', 'consecrator'])","dict_values(['P710', 'P1598'])"
Q5327069,"dict_keys(['followed by', 'edition or translation of'])","dict_values(['P156', 'P629'])"
Q1297,"dict_keys(['place of birth', 'residence', 'place of publication', 'home port', 'port of registry', 'depicts', 'twinned administrative body', 'location', 'collection', 'narrative location', 'recorded at studio or venue', 'part of', 'family name', 'location of formation', 'terminus', 'exhibition history', 'terminus location', 'filming location', 'work location', 'indigenous to', 'operating area', 'location of first performance', 'inspired by', 'category combines topics', 'item for this sense', 'significant place', 'applies to jurisdiction', ""category's main topic"", 'location of creation', 'main subject', 'licensed to broadcast to', ""Wikimedia portal's main topic"", 'facet of', 'recording location', 'distributed from', 'place served by transport hub', 'start point', 'published in', 'destination point', 'different from', 'place of death', 'located in the administrative territorial entity', 'shares border with', 'capital', 'country of citizenship', 'educated at', 'field of work', 'place of burial', 'employer', 'maintained by', 'owned by', 'headquarters location', 'operator', 'named after', 'contains the administrative territorial entity', 'followed by', 'performer'])","dict_values(['P19', 'P551', 'P291', 'P504', 'P532', 'P180', 'P190', 'P276', 'P195', 'P840', 'P483', 'P361', 'P734', 'P740', 'P559', 'P608', 'P609', 'P915', 'P937', 'P2341', 'P2541', 'P4647', 'P941', 'P971', 'P5137', 'P7153', 'P1001', 'P301', 'P1071', 'P921', 'P1408', 'P1204', 'P1269', 'P8546', 'P10754', 'P931', 'P1427', 'P1433', 'P1444', 'P1889', 'P20', 'P131', 'P47', 'P36', 'P27', 'P69', 'P101', 'P119', 'P108', 'P126', 'P127', 'P159', 'P137', 'P138', 'P150', 'P156', 'P175'])"
Q6230278,dict_keys(['has part(s)']),dict_values(['P527'])
Q984029,"dict_keys(['has part(s)', 'based on', 'present in work', 'Wikidata property example', 'first appearance'])","dict_values(['P527', 'P144', 'P1441', 'P1855', 'P4584'])"
Q668083,"dict_keys(['follows', 'followed by', 'part of', 'different from'])","dict_values(['P155', 'P156', 'P361', 'P1889'])"
Q154581,"dict_keys(['inspired by', 'notable work', 'based on', 'derivative work', 'present in work'])","dict_values(['P941', 'P800', 'P144', 'P4969', 'P1441'])"
Q1348496,dict_keys([]),dict_values([])
Q6687871,"dict_keys(['author', 'father', 'screenwriter'])","dict_values(['P50', 'P22', 'P58'])"
Q5553855,dict_keys(['followed by']),dict_values(['P156'])
Q5506118,dict_keys([]),dict_values([])
Q6836909,"dict_keys(['screenwriter', 'creator'])","dict_values(['P58', 'P170'])"
Q56094,"dict_keys(['father', 'spouse', 'director', 'child', 'screenwriter', 'executive producer', 'founded by', 'cast member', 'producer', 'composer', 'creator', ""category's main topic"", 'characters', 'category combines topics', 'film editor', 'main subject', 'winner', 'template has topic', 'after a work by', 'facet of', 'sibling'])","dict_values(['P22', 'P26', 'P57', 'P40', 'P58', 'P1431', 'P112', 'P161', 'P162', 'P86', 'P170', 'P301', 'P674', 'P971', 'P1040', 'P921', 'P1346', 'P1423', 'P1877', 'P1269', 'P3373'])"
Q1120576,"dict_keys(['author', 'member of political party', 'followed by', ""category's main topic"", 'candidate', 'parent organization', 'occupant'])","dict_values(['P50', 'P102', 'P156', 'P301', 'P726', 'P749', 'P466'])"
Q3154598,"dict_keys(['producer', 'distributed by'])","dict_values(['P162', 'P750'])"
Q222052,"dict_keys(['position played on team / speciality', 'different from', 'item for this sense', ""category's main topic""])","dict_values(['P413', 'P1889', 'P5137', 'P301'])"
Q43343,"dict_keys(['item for this sense', 'field of work', 'movement', 'genre', 'subclass of', 'influenced by', 'different from', 'instance of', 'radio format', 'named after', 'part of', 'main subject', 'category combines topics', ""category's main topic"", 'occupation', 'has use', 'field of this occupation', 'is metaclass for', 'template has topic', 'facet of'])","dict_values(['P5137', 'P101', 'P135', 'P136', 'P279', 'P737', 'P1889', 'P31', 'P415', 'P138', 'P361', 'P921', 'P971', 'P301', 'P106', 'P366', 'P425', 'P8225', 'P1423', 'P1269'])"
Q1219013,dict_keys([]),dict_values([])
Q6249503,dict_keys(['musical conductor']),dict_values(['P3300'])
Q2023740,dict_keys(['founded by']),dict_values(['P112'])
Q2138789,dict_keys(['different from']),dict_values(['P1889'])
Q7680816,dict_keys([]),dict_values([])
Q6050048,dict_keys([]),dict_values([])
Q10280325,dict_keys(['performer']),dict_values(['P175'])
Q7349401,"dict_keys(['has part(s)', 'performer'])","dict_values(['P527', 'P175'])"
Q3116899,dict_keys([]),dict_values([])
Q154194,dict_keys(['derivative work']),dict_values(['P4969'])
Q2605514,"dict_keys(['performer', 'cast member', 'different from'])","dict_values(['P175', 'P161', 'P1889'])"
Q1075868,dict_keys(['located in the administrative territorial entity']),dict_values(['P131'])
Q6221698,dict_keys([]),dict_values([])
Q6285529,dict_keys([]),dict_values([])
Q13636457,"dict_keys(['followed by', 'notable work', 'edition or translation of'])","dict_values(['P156', 'P800', 'P629'])"
Q147589,dict_keys(['sibling']),dict_values(['P3373'])
Q5174096,dict_keys([]),dict_values([])
Q605186,dict_keys([]),dict_values([])
Q5466725,dict_keys(['different from']),dict_values(['P1889'])
Q29172,"dict_keys(['shares border with', 'located in the administrative territorial entity', 'indigenous to', 'contains the administrative territorial entity', ""category's main topic"", 'capital of'])","dict_values(['P47', 'P131', 'P2341', 'P150', 'P301', 'P1376'])"
Q6012446,dict_keys([]),dict_values([])
Q4707525,dict_keys([]),dict_values([])
Q7741195,dict_keys([]),dict_values([])
Q532474,"dict_keys(['different from', 'notable work', 'software engine'])","dict_values(['P1889', 'P800', 'P408'])"
Q66832,"dict_keys(['spouse', 'creator'])","dict_values(['P26', 'P170'])"
Q215506,"dict_keys(['spouse', 'author', 'director', 'screenwriter', 'cast member', 'creator', 'performer', 'producer', 'presenter', 'influenced by', 'voice actor', 'unmarried partner', 'fictional analog of', 'winner', 'significant person'])","dict_values(['P26', 'P50', 'P57', 'P58', 'P161', 'P170', 'P175', 'P162', 'P371', 'P737', 'P725', 'P451', 'P1074', 'P1346', 'P3342'])"
Q11633,"dict_keys(['field of usage', 'item for this sense', 'instance of', 'field of work', 'genre', 'depicts', 'subclass of', 'named after', 'part of', 'industry', 'main subject', 'occupation', 'facet of', 'has use', 'field of this occupation', 'notable work', 'Wikidata property example', 'fabrication method', 'interested in', 'different from', ""Wikimedia portal's main topic"", 'has part(s)', 'contains', 'made from material', 'category combines topics', 'category contains', 'is metaclass for', 'has part(s) of the class', 'movement', ""category's main topic"", 'inspired by', 'template has topic', 'collection', 'uses', 'has facility', 'product or material produced', 'form of creative work'])","dict_values(['P9488', 'P5137', 'P31', 'P101', 'P136', 'P180', 'P279', 'P138', 'P361', 'P452', 'P921', 'P106', 'P1269', 'P366', 'P425', 'P800', 'P1855', 'P2079', 'P2650', 'P1889', 'P1204', 'P527', 'P4330', 'P186', 'P971', 'P4224', 'P8225', 'P2670', 'P135', 'P301', 'P941', 'P1423', 'P195', 'P2283', 'P912', 'P1056', 'P7937'])"
Q336167,"dict_keys(['place of birth', 'place of death', 'shares border with', 'located in the administrative territorial entity', 'contains the administrative territorial entity', 'capital of', 'different from', 'location', 'category combines topics', ""category's main topic"", 'applies to jurisdiction', 'operating area'])","dict_values(['P19', 'P20', 'P47', 'P131', 'P150', 'P1376', 'P1889', 'P276', 'P971', 'P301', 'P1001', 'P2541'])"
Q132821,"dict_keys(['cause of death', 'place of death', 'instance of', 'category contains', 'commemorates', 'is a list of', 'category combines topics', 'has use', 'said to be the same as', 'field of this occupation', 'manner of death', 'depicts', 'facet of', 'convicted of', 'participant in', 'item for this sense', 'subclass of', 'objective of project or action', 'domain of saint or deity', ""category's main topic"", 'participant', 'inscription mentions', 'exonerated of', 'perpetrator', 'predicate for', 'field of work', 'occupation', 'killed by', 'significant event', 'named after', 'notable work', 'has cause', 'main subject', 'charge', 'Wikidata property example', 'different from', 'has effect', 'defendant'])","dict_values(['P509', 'P20', 'P31', 'P4224', 'P547', 'P360', 'P971', 'P366', 'P460', 'P425', 'P1196', 'P180', 'P1269', 'P1399', 'P1344', 'P5137', 'P279', 'P3712', 'P2925', 'P301', 'P710', 'P6568', 'P7781', 'P8031', 'P9970', 'P101', 'P106', 'P157', 'P793', 'P138', 'P800', 'P828', 'P921', 'P1595', 'P1855', 'P1889', 'P1542', 'P1591'])"
Q93204,"dict_keys(['field of work', 'instance of', 'occupation', 'movement', 'genre', 'industry', 'field of this occupation', 'is a list of', 'opposite of', 'significant event', 'product or material produced', 'main subject', 'facet of', 'category combines topics', 'subject has role', 'interested in', 'item for this sense', 'category contains', 'subclass of', 'depicts', ""category's main topic"", 'form of creative work'])","dict_values(['P101', 'P31', 'P106', 'P135', 'P136', 'P452', 'P425', 'P360', 'P461', 'P793', 'P1056', 'P921', 'P1269', 'P971', 'P2868', 'P2650', 'P5137', 'P4224', 'P279', 'P180', 'P301', 'P7937'])"
Q580,"dict_keys(['place of birth', 'depicts', 'twinned administrative body', 'location', 'place of publication', ""category's main topic"", 'place of death', 'residence', 'location of formation', 'narrative location', 'filming location', 'main subject', 'work location', 'place served by transport hub', 'place of detention', 'category combines topics', 'facet of', 'applies to jurisdiction', ""Wikimedia portal's main topic"", 'destination point', 'start point', 'primary destinations', 'located in the ecclesiastical territorial entity', 'item for this sense', 'capital', 'place of burial', 'shares border with', 'located in the administrative territorial entity', 'owned by', 'headquarters location', 'named after', 'contains the administrative territorial entity'])","dict_values(['P19', 'P180', 'P190', 'P276', 'P291', 'P301', 'P20', 'P551', 'P740', 'P840', 'P915', 'P921', 'P937', 'P931', 'P2632', 'P971', 'P1269', 'P1001', 'P1204', 'P1444', 'P1427', 'P1302', 'P5607', 'P5137', 'P36', 'P119', 'P47', 'P131', 'P127', 'P159', 'P138', 'P150'])"
Q1090769,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q128758,"dict_keys(['item for this sense', 'instance of', 'field of work', 'genre', 'movement', 'subclass of', 'depicts', ""category's main topic"", 'field of this occupation', 'main subject', 'facet of', 'uses', 'category combines topics', 'has use', 'political ideology', 'occupation', 'political alignment', 'has quality'])","dict_values(['P5137', 'P31', 'P101', 'P136', 'P135', 'P279', 'P180', 'P301', 'P425', 'P921', 'P1269', 'P2283', 'P971', 'P366', 'P1142', 'P106', 'P1387', 'P1552'])"
Q5363152,dict_keys([]),dict_values([])
Q6422107,dict_keys([]),dict_values([])
Q974466,dict_keys([]),dict_values([])
Q1342,"dict_keys(['has part(s)', 'enclave within', 'depicts', 'residence', 'place of birth', 'twinned administrative body', 'location', 'located in the administrative territorial entity', 'place of death', 'terminus', 'terminus location', 'location of first performance', 'place of publication', 'work location', 'narrative location', ""category's main topic"", 'inspired by', 'location of formation', 'category combines topics', 'parent organization', 'applies to jurisdiction', 'filming location', 'operating area', 'merged into', 'operator', 'named after', 'contains the administrative territorial entity', 'headquarters location', 'capital', 'shares border with', 'place of burial', 'maintained by', 'owned by', 'main subject', 'place served by transport hub', 'conferred by', 'location of creation', ""Wikimedia portal's main topic"", 'facet of', 'licensed to broadcast to', 'start point', 'destination point', 'different from', 'significant place'])","dict_values(['P527', 'P501', 'P180', 'P551', 'P19', 'P190', 'P276', 'P131', 'P20', 'P559', 'P609', 'P4647', 'P291', 'P937', 'P840', 'P301', 'P941', 'P740', 'P971', 'P749', 'P1001', 'P915', 'P2541', 'P7888', 'P137', 'P138', 'P150', 'P159', 'P36', 'P47', 'P119', 'P126', 'P127', 'P921', 'P931', 'P1027', 'P1071', 'P1204', 'P1269', 'P1408', 'P1427', 'P1444', 'P1889', 'P7153'])"
Q4906481,dict_keys(['follows']),dict_values(['P155'])
Q17361420,dict_keys(['has part(s)']),dict_values(['P527'])
Q7351133,dict_keys([]),dict_values([])
Q6607,"dict_keys(['subclass of', 'part of', 'is a list of', 'has part(s)', 'has use', 'depicts', 'said to be the same as', ""category's main topic"", 'instance of', 'instrumentation', 'main subject', 'instrument', 'product or material produced', 'category combines topics', 'carries scientific instrument', 'occupation', 'field of work', 'item operated', 'named after', 'genre', 'based on', 'permanent duplicated item', 'uses', 'item for this sense', 'partially coincident with', 'template has topic', 'different from'])","dict_values(['P279', 'P361', 'P360', 'P527', 'P366', 'P180', 'P460', 'P301', 'P31', 'P870', 'P921', 'P1303', 'P1056', 'P971', 'P1202', 'P106', 'P101', 'P121', 'P138', 'P136', 'P144', 'P2959', 'P2283', 'P5137', 'P1382', 'P1423', 'P1889'])"
Q15378683,dict_keys([]),dict_values([])
Q7723204,"dict_keys(['followed by', 'edition or translation of'])","dict_values(['P156', 'P629'])"
Q193752,"dict_keys(['father', 'child', 'signatory', 'sibling', 'spouse', 'owned by', 'characters', 'main subject'])","dict_values(['P22', 'P40', 'P1891', 'P3373', 'P26', 'P127', 'P674', 'P921'])"
Q5106113,dict_keys([]),dict_values([])
Q3088054,dict_keys([]),dict_values([])
Q980200,"dict_keys(['performer', 'participant'])","dict_values(['P175', 'P710'])"
Q710247,"dict_keys(['spouse', 'depicts', 'characters', 'main subject'])","dict_values(['P26', 'P180', 'P674', 'P921'])"
Q2377261,dict_keys([]),dict_values([])
Q718562,"dict_keys(['followed by', 'follows'])","dict_values(['P156', 'P155'])"
Q637190,"dict_keys(['follows', 'based on', 'performer', 'part of the series', ""category's main topic"", 'present in work', 'product or material produced'])","dict_values(['P155', 'P144', 'P175', 'P179', 'P301', 'P1441', 'P1056'])"
Q5497332,"dict_keys(['spouse', 'father'])","dict_values(['P26', 'P22'])"
Q133032,"dict_keys(['ethnic group', 'named after', 'has part(s)', 'participant', 'category combines topics', 'subclass of', 'part of', 'has part(s) of the class', 'item for this sense', 'indigenous to', 'worshipped by', 'depicts', ""category's main topic"", 'main subject', 'facet of'])","dict_values(['P172', 'P138', 'P527', 'P710', 'P971', 'P279', 'P361', 'P2670', 'P5137', 'P2341', 'P1049', 'P180', 'P301', 'P921', 'P1269'])"
Q4374943,dict_keys([]),dict_values([])
Q16223459,dict_keys([]),dict_values([])
Q7294392,"dict_keys(['follows', 'performer'])","dict_values(['P155', 'P175'])"
Q3728410,"dict_keys(['director', 'producer', 'category combines topics'])","dict_values(['P57', 'P162', 'P971'])"
Q13156,"dict_keys(['place of birth', 'place of death', 'located in the administrative territorial entity', 'shares border with', 'owned by', 'named after', 'contains the administrative territorial entity', 'headquarters location', 'twinned administrative body', 'work location', 'place of publication', 'category combines topics', ""category's main topic"", 'demonym of', 'capital of', 'applies to jurisdiction', 'start point', 'destination point', 'has part(s)'])","dict_values(['P19', 'P20', 'P131', 'P47', 'P127', 'P138', 'P150', 'P159', 'P190', 'P937', 'P291', 'P971', 'P301', 'P6271', 'P1376', 'P1001', 'P1427', 'P1444', 'P527'])"
Q724154,"dict_keys(['follows', 'has part(s)', 'present in work', 'followed by'])","dict_values(['P155', 'P527', 'P1441', 'P156'])"
Q206159,"dict_keys(['field of work', 'genre', 'influenced by', 'subclass of', 'category combines topics', ""category's main topic""])","dict_values(['P101', 'P136', 'P737', 'P279', 'P971', 'P301'])"
Q12124483,dict_keys([]),dict_values([])
Q150651,"dict_keys(['cast member', 'voice actor', 'father', 'influenced by', 'spouse', 'narrator', 'creator', 'performer', 'author', ""category's main topic"", 'main subject', 'winner', 'category combines topics'])","dict_values(['P161', 'P725', 'P22', 'P737', 'P26', 'P2438', 'P170', 'P175', 'P50', 'P301', 'P921', 'P1346', 'P971'])"
Q164444,"dict_keys(['item for this sense', 'genre', 'subclass of', 'Wikidata property example', 'based on', 'named after', 'field of work', 'influenced by', 'radio format', 'field of this occupation', ""category's main topic"", 'category combines topics', 'facet of'])","dict_values(['P5137', 'P136', 'P279', 'P1855', 'P144', 'P138', 'P101', 'P737', 'P415', 'P425', 'P301', 'P971', 'P1269'])"
Q98643,dict_keys(['sibling']),dict_values(['P3373'])
Q52354,"dict_keys(['named after', 'main subject'])","dict_values(['P138', 'P921'])"
Q189059,"dict_keys(['place of birth', 'capital', 'residence', 'location', 'place of death', 'headquarters location', 'main subject', 'work location', 'category combines topics', 'ancestral home', 'located in the administrative territorial entity', 'named after', 'home port', 'twinned administrative body', 'replaced by', ""category's main topic"", 'place served by transport hub', 'different from'])","dict_values(['P19', 'P36', 'P551', 'P276', 'P20', 'P159', 'P921', 'P937', 'P971', 'P66', 'P131', 'P138', 'P504', 'P190', 'P1366', 'P301', 'P931', 'P1889'])"
Q128581,"dict_keys(['cause of death', 'main subject', 'field of work', 'therapeutic area', 'depicts', 'subclass of', ""category's main topic"", 'health specialty', 'medical condition treated', 'gene substitution association with', 'genetic association', 'significant event', 'studies', 'interested in', 'positive prognostic predictor for', 'negative prognostic predictor for', 'positive diagnostic predictor for', 'item for this sense', 'possible medical findings', 'medical condition', 'category combines topics', 'manner of death', 'facet of', 'Wikidata property example', 'increased expression in'])","dict_values(['P509', 'P921', 'P101', 'P4044', 'P180', 'P279', 'P301', 'P1995', 'P2175', 'P1916', 'P2293', 'P793', 'P2578', 'P2650', 'P3358', 'P3359', 'P3356', 'P5137', 'P5131', 'P1050', 'P971', 'P1196', 'P1269', 'P1855', 'P1911'])"
