qid,target_relation,questions,relation_id,relation_labels
Q247643,P364,What language is the show elementary broadcast in?,"dict_keys(['present in work', 'part of the series', 'derivative work', 'notable work', 'filmography', 'main subject'])","dict_values(['P1441', 'P179', 'P4969', 'P800', 'P1283', 'P921'])"
Q6135854,P21,what is the gender of james hendry?,dict_keys([]),dict_values([])
Q4021138,P136,what type a film is wyatt earps revenge,dict_keys([]),dict_values([])
Q184622,P738,who did jean genet influence,"dict_keys(['author', 'director', 'screenwriter', 'field of work', 'named after', 'cast member', 'creator', 'depicts', ""category's main topic"", 'influenced by', 'main subject', 'category combines topics', 'film editor', 'different from', 'after a work by'])","dict_values(['P50', 'P57', 'P58', 'P101', 'P138', 'P161', 'P170', 'P180', 'P301', 'P737', 'P921', 'P971', 'P1040', 'P1889', 'P1877'])"
Q2405480,P106,who was a voice actor?,"dict_keys(['has part(s)', 'instance of', 'occupation', 'field of work', 'is a list of', 'said to be the same as', 'practiced by', 'notable work', 'main subject', 'category combines topics', 'facet of', 'Wikidata item of this property', 'template has topic', 'different from', 'members have occupation', 'subclass of', ""category's main topic"", 'item for this sense', 'eligible recipient', 'performer'])","dict_values(['P527', 'P31', 'P106', 'P101', 'P360', 'P460', 'P3095', 'P800', 'P921', 'P971', 'P1269', 'P1629', 'P1423', 'P1889', 'P3989', 'P279', 'P301', 'P5137', 'P8115', 'P175'])"
Q145410,P196,What is a member of the 1893 jakoba asteroid group?,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q4921907,P175,What artist includes black star at the point of darkness in his work?,dict_keys([]),dict_values([])
Q1698,P175,Name an album by serge gainsbourg,"dict_keys(['child', 'father', 'spouse', 'author', 'director', 'screenwriter', 'composer', 'named after', 'performer', 'contributor to the creative work or subject', 'main subject', 'cast member', 'lyrics by', 'producer', 'sibling', 'unmarried partner', 'partner in business or sport', 'category combines topics', ""category's main topic"", 'influenced by', 'adapted by', 'depicts', 'dedicated to'])","dict_values(['P40', 'P22', 'P26', 'P50', 'P57', 'P58', 'P86', 'P138', 'P175', 'P767', 'P921', 'P161', 'P676', 'P162', 'P3373', 'P451', 'P1327', 'P971', 'P301', 'P737', 'P5202', 'P180', 'P825'])"
Q237514,P50,what is a book by laura ingalls wilder,"dict_keys(['author', 'mother', 'spouse', 'child', 'named after', 'creator', 'characters', ""category's main topic"", 'main subject', 'winner', 'relative', 'after a work by', 'sibling'])","dict_values(['P50', 'P25', 'P26', 'P40', 'P138', 'P170', 'P674', 'P301', 'P921', 'P1346', 'P1038', 'P1877', 'P3373'])"
Q3738651,P136,What type of music fall heads roll,dict_keys(['follows']),dict_values(['P155'])
Q388408,P344,Who was the cinematographer for the film endless love?,dict_keys([]),dict_values([])
Q93204,P136,what is a documentary film about the media,"dict_keys(['depicts', 'subclass of', 'instance of', ""category's main topic"", 'field of work', 'occupation', 'movement', 'genre', 'significant event', 'interested in', 'main subject', 'item for this sense', 'product or material produced', 'subject has role', 'category contains', 'facet of', 'category combines topics', 'is a list of', 'industry', 'field of this occupation', 'opposite of', 'form of creative work'])","dict_values(['P180', 'P279', 'P31', 'P301', 'P101', 'P106', 'P135', 'P136', 'P793', 'P2650', 'P921', 'P5137', 'P1056', 'P2868', 'P4224', 'P1269', 'P971', 'P360', 'P452', 'P425', 'P461', 'P7937'])"
Q3643721,P136,what musical genre does  brandon reilly create,dict_keys(['has part(s)']),dict_values(['P527'])
Q7063408,P641,What sport does notre dame fighting irish men's basketball play,"dict_keys(['member of sports team', 'winner', 'participating team', 'has part(s)', ""category's main topic"", 'supported sports team', 'occupant', 'category combines topics'])","dict_values(['P54', 'P1346', 'P1923', 'P527', 'P301', 'P6758', 'P466', 'P971'])"
Q707230,P27,What nationality is Kenneth Hsu?,"dict_keys(['author', 'named after'])","dict_values(['P50', 'P138'])"
Q590103,P136,whats an example of a psychological thriller,"dict_keys(['genre', 'subclass of', 'main subject', 'category combines topics'])","dict_values(['P136', 'P279', 'P921', 'P971'])"
Q384243,P136,what genre of film is mama turns 100 under?,dict_keys([]),dict_values([])
Q71277,P19,where in germany was rudi ball born in?,dict_keys([]),dict_values([])
Q2227506,P136,what netflix genre is last hurrah for chivalry?,dict_keys([]),dict_values([])
Q101625,P421,what time zone is marrakech in?,"dict_keys(['item for this sense', 'demonym of', 'place of birth', 'place of death', 'place of burial', 'located in the administrative territorial entity', 'capital', 'educated at', 'owned by', 'named after', 'location', 'headquarters location', 'depicts', 'twinned administrative body', 'residence', 'work location', 'place served by transport hub', 'primary destinations', 'category combines topics', 'place of publication', ""category's main topic"", 'narrative location', 'main subject', ""Wikimedia portal's main topic"", 'start point', 'filming location', 'destination point', 'facet of', 'significant place', 'location of creation', 'applies to jurisdiction'])","dict_values(['P5137', 'P6271', 'P19', 'P20', 'P119', 'P131', 'P36', 'P69', 'P127', 'P138', 'P276', 'P159', 'P180', 'P190', 'P551', 'P937', 'P931', 'P1302', 'P971', 'P291', 'P301', 'P840', 'P921', 'P1204', 'P1427', 'P915', 'P1444', 'P1269', 'P7153', 'P1071', 'P1001'])"
Q2321544,P136,what kind of genre is wings of the navy?,dict_keys([]),dict_values([])
Q5667368,P27,"which country does harry blackstone, jr. come from","dict_keys(['spouse', 'child'])","dict_values(['P26', 'P40'])"
Q25989,P421,What's a place in central european time zone,"dict_keys(['located in time zone', 'main subject', 'said to be the same as'])","dict_values(['P421', 'P921', 'P460'])"
Q734861,P21,what is valeria richards's gender?,"dict_keys(['child', 'characters', 'relative', 'sibling', 'based on'])","dict_values(['P40', 'P674', 'P1038', 'P3373', 'P144'])"
Q55442,P57,what movie did liliana cavani direct?,"dict_keys(['director', 'screenwriter', 'cast member', 'category combines topics', 'signatory'])","dict_values(['P57', 'P58', 'P161', 'P971', 'P1891'])"
Q3986646,P136,What kind of video game is the dog island,dict_keys([]),dict_values([])
Q590145,P136,what television genre is the starter wife?,dict_keys(['part of the series']),dict_values(['P179'])
Q438503,P136,Who is an artist known for alternative hip hop?,"dict_keys(['genre', 'subclass of', ""category's main topic"", 'field of work', 'facet of'])","dict_values(['P136', 'P279', 'P301', 'P101', 'P1269'])"
Q7749083,P170,who created the loves of the gods,dict_keys(['part of']),dict_values(['P361'])
Q36322,P50,What did jane austen write?,"dict_keys(['author', 'child', 'creator', 'depicts', 'influenced by', 'screenwriter', 'named after', 'field of work', 'main subject', 'Wikidata property example', 'after a work by', 'model item', ""category's main topic"", 'characters', 'inspired by', 'category combines topics', ""Wikimedia portal's main topic"", 'facet of', 'relative', 'sibling', 'significant person', 'different from'])","dict_values(['P50', 'P40', 'P170', 'P180', 'P737', 'P58', 'P138', 'P101', 'P921', 'P1855', 'P1877', 'P5869', 'P301', 'P674', 'P941', 'P971', 'P1204', 'P1269', 'P1038', 'P3373', 'P3342', 'P1889'])"
Q234472,P27,What is the nationality of estella warren?,dict_keys(['cast member']),dict_values(['P161'])
Q1530721,P272,What is a film produced by the national film board of canada?,"dict_keys(['employer', 'commissioned by', 'producer', 'production company', 'named after', 'influenced by', 'distributed by', 'operator', 'member of', 'publisher', 'owned by', ""category's main topic"", 'category combines topics', 'part of', 'occupant', 'published in'])","dict_values(['P108', 'P88', 'P162', 'P272', 'P138', 'P737', 'P750', 'P137', 'P463', 'P123', 'P127', 'P301', 'P971', 'P361', 'P466', 'P1433'])"
Q710600,P21,what gender does eugênio sales identify as,"dict_keys(['participant', 'consecrator'])","dict_values(['P710', 'P1598'])"
Q5327069,P364,what language was written in earth dreams,"dict_keys(['followed by', 'edition or translation of'])","dict_values(['P156', 'P629'])"
Q1297,P19,Name a person born in chicago.,"dict_keys(['place of birth', 'residence', 'place of publication', 'location', 'depicts', 'twinned administrative body', 'collection', 'terminus', 'exhibition history', 'terminus location', 'part of', 'recorded at studio or venue', 'family name', 'location of formation', 'home port', 'port of registry', 'narrative location', 'operating area', 'location of first performance', 'indigenous to', 'filming location', 'recording location', ""category's main topic"", 'main subject', 'place served by transport hub', 'work location', 'distributed from', 'item for this sense', 'significant place', 'category combines topics', 'applies to jurisdiction', 'location of creation', ""Wikimedia portal's main topic"", 'facet of', 'licensed to broadcast to', 'start point', 'different from', 'published in', 'destination point', 'place of death', 'inspired by', 'country of citizenship', 'capital', 'shares border with', 'educated at', 'employer', 'place of burial', 'field of work', 'located in the administrative territorial entity', 'maintained by', 'owned by', 'named after', 'contains the administrative territorial entity', 'followed by', 'headquarters location', 'operator', 'performer'])","dict_values(['P19', 'P551', 'P291', 'P276', 'P180', 'P190', 'P195', 'P559', 'P608', 'P609', 'P361', 'P483', 'P734', 'P740', 'P504', 'P532', 'P840', 'P2541', 'P4647', 'P2341', 'P915', 'P8546', 'P301', 'P921', 'P931', 'P937', 'P10754', 'P5137', 'P7153', 'P971', 'P1001', 'P1071', 'P1204', 'P1269', 'P1408', 'P1427', 'P1889', 'P1433', 'P1444', 'P20', 'P941', 'P27', 'P36', 'P47', 'P69', 'P108', 'P119', 'P101', 'P131', 'P126', 'P127', 'P138', 'P150', 'P156', 'P159', 'P137', 'P175'])"
Q6230278,P136,what kind of music does john duffey play,dict_keys(['has part(s)']),dict_values(['P527'])
Q984029,P287,Who's a designer that worked on luigi's mansion,"dict_keys(['has part(s)', 'based on', 'present in work', 'Wikidata property example', 'first appearance'])","dict_values(['P527', 'P144', 'P1441', 'P1855', 'P4584'])"
Q668083,P175,who is the artist on seven wishes,"dict_keys(['follows', 'followed by', 'part of', 'different from'])","dict_values(['P155', 'P156', 'P361', 'P1889'])"
Q154581,P86,who wrote the music for gangs of new york,"dict_keys(['inspired by', 'notable work', 'based on', 'derivative work', 'present in work'])","dict_values(['P941', 'P800', 'P144', 'P4969', 'P1441'])"
Q1348496,P21,what is the gender of sophie merry?,dict_keys([]),dict_values([])
Q6687871,P58,What film story credits did louis n. parker contribute to?,"dict_keys(['author', 'father', 'screenwriter'])","dict_values(['P50', 'P22', 'P58'])"
Q5553855,P136,What genre of music is on the album get damned,dict_keys(['followed by']),dict_values(['P156'])
Q5506118,P136,what kind of tv show is frontpage,dict_keys([]),dict_values([])
Q6836909,P58,what is an episode written by michelle ashford,"dict_keys(['screenwriter', 'creator'])","dict_values(['P58', 'P170'])"
Q56094,P86,what movies has francis ford coppola contributed music to,"dict_keys(['father', 'spouse', 'director', 'child', 'screenwriter', 'executive producer', 'founded by', 'cast member', 'producer', 'composer', 'creator', ""category's main topic"", 'characters', 'category combines topics', 'film editor', 'main subject', 'winner', 'template has topic', 'after a work by', 'facet of', 'sibling'])","dict_values(['P22', 'P26', 'P57', 'P40', 'P58', 'P1431', 'P112', 'P161', 'P162', 'P86', 'P170', 'P301', 'P674', 'P971', 'P1040', 'P921', 'P1346', 'P1423', 'P1877', 'P1269', 'P3373'])"
Q1120576,P1142,which is the main ideology of the communist party of britain?,"dict_keys(['author', 'member of political party', 'followed by', ""category's main topic"", 'candidate', 'parent organization', 'occupant'])","dict_values(['P50', 'P102', 'P156', 'P301', 'P726', 'P749', 'P466'])"
Q3154598,P20,irvin shapiro passed away in which city?,"dict_keys(['producer', 'distributed by'])","dict_values(['P162', 'P750'])"
Q222052,P413,what former basketball played the center (basketball) position,"dict_keys(['position played on team / speciality', 'different from', 'item for this sense', ""category's main topic""])","dict_values(['P413', 'P1889', 'P5137', 'P301'])"
Q43343,P136,what album has folk music?,"dict_keys(['item for this sense', 'field of work', 'movement', 'genre', 'subclass of', 'influenced by', 'different from', 'instance of', 'radio format', 'named after', 'part of', 'main subject', 'category combines topics', ""category's main topic"", 'occupation', 'has use', 'field of this occupation', 'is metaclass for', 'template has topic', 'facet of'])","dict_values(['P5137', 'P101', 'P135', 'P136', 'P279', 'P737', 'P1889', 'P31', 'P415', 'P138', 'P361', 'P921', 'P971', 'P301', 'P106', 'P366', 'P425', 'P8225', 'P1423', 'P1269'])"
Q1219013,P58,Who wrote the film thunderbolt and lightfoot?,dict_keys([]),dict_values([])
Q6249503,P19,where in the united states was john morris russell born,dict_keys(['musical conductor']),dict_values(['P3300'])
Q2023740,P21,what is imam mustafayev's gender,dict_keys(['founded by']),dict_values(['P112'])
Q2138789,P27,what country is anthony lane from,dict_keys(['different from']),dict_values(['P1889'])
Q7680816,P19,Where was tamara oudyn born?,dict_keys([]),dict_values([])
Q6050048,P19,Where was oliver duff born,dict_keys([]),dict_values([])
Q10280325,P21,what is fausto fawcett's gender,dict_keys(['performer']),dict_values(['P175'])
Q7349401,P136,what type of music is robert roth known for?,"dict_keys(['has part(s)', 'performer'])","dict_values(['P527', 'P175'])"
Q3116899,P21,what is grog's gender,dict_keys([]),dict_values([])
Q154194,P136,what type of film is generation kill,dict_keys(['derivative work']),dict_values(['P4969'])
Q2605514,P264,which recording label is webbie with?,"dict_keys(['performer', 'cast member', 'different from'])","dict_values(['P175', 'P161', 'P1889'])"
Q1075868,P131,"What county has jurisdiction over chokoloskee, florida",dict_keys(['located in the administrative territorial entity']),dict_values(['P131'])
Q6221698,P27,which country is john berry from,dict_keys([]),dict_values([])
Q6285529,P106,What is joseph meyer's job,dict_keys([]),dict_values([])
Q13636457,P136,What kind of book is home?,"dict_keys(['followed by', 'notable work', 'edition or translation of'])","dict_values(['P156', 'P800', 'P629'])"
Q147589,P172,kolo touré is of what ethnic background,dict_keys(['sibling']),dict_values(['P3373'])
Q5174096,P495,what country is cosmic ray from,dict_keys([]),dict_values([])
Q605186,P27,what is the nationality of lorenzo maitani?,dict_keys([]),dict_values([])
Q5466725,P136,what is the genre of the film for freedom,dict_keys(['different from']),dict_values(['P1889'])
Q29172,P150,what is the administrative child of zou?,"dict_keys(['shares border with', 'located in the administrative territorial entity', 'indigenous to', 'contains the administrative territorial entity', ""category's main topic"", 'capital of'])","dict_values(['P47', 'P131', 'P2341', 'P150', 'P301', 'P1376'])"
Q6012446,P136,what genre is the book in the line of fire: a memoir,dict_keys([]),dict_values([])
Q4707525,P21,What is Alan Pierson's gender?,dict_keys([]),dict_values([])
Q7741195,P136,what is the genre of the book the hydrofoil mystery,dict_keys([]),dict_values([])
Q532474,P136,which video game genre is sauerbraten (game),"dict_keys(['different from', 'notable work', 'software engine'])","dict_values(['P1889', 'P800', 'P408'])"
Q66832,P27,What was the nationality of  franz roh,"dict_keys(['spouse', 'creator'])","dict_values(['P26', 'P170'])"
Q215506,P738,Who influenced jerry seinfeld,"dict_keys(['spouse', 'author', 'director', 'screenwriter', 'cast member', 'creator', 'performer', 'producer', 'presenter', 'influenced by', 'voice actor', 'unmarried partner', 'fictional analog of', 'winner', 'significant person'])","dict_values(['P26', 'P50', 'P57', 'P58', 'P161', 'P170', 'P175', 'P162', 'P371', 'P737', 'P725', 'P451', 'P1074', 'P1346', 'P3342'])"
Q11633,P170,which photography artist is best known for the american west landscape?,"dict_keys(['field of usage', 'item for this sense', 'instance of', 'field of work', 'genre', 'depicts', 'subclass of', 'named after', 'part of', 'industry', 'main subject', 'occupation', 'facet of', 'has use', 'field of this occupation', 'notable work', 'Wikidata property example', 'fabrication method', 'interested in', 'different from', ""Wikimedia portal's main topic"", 'has part(s)', 'contains', 'made from material', 'category combines topics', 'category contains', 'is metaclass for', 'has part(s) of the class', 'movement', ""category's main topic"", 'inspired by', 'template has topic', 'collection', 'uses', 'has facility', 'product or material produced', 'form of creative work'])","dict_values(['P9488', 'P5137', 'P31', 'P101', 'P136', 'P180', 'P279', 'P138', 'P361', 'P452', 'P921', 'P106', 'P1269', 'P366', 'P425', 'P800', 'P1855', 'P2079', 'P2650', 'P1889', 'P1204', 'P527', 'P4330', 'P186', 'P971', 'P4224', 'P8225', 'P2670', 'P135', 'P301', 'P941', 'P1423', 'P195', 'P2283', 'P912', 'P1056', 'P7937'])"
Q336167,P131,what is a city located in huron county,"dict_keys(['place of birth', 'place of death', 'shares border with', 'located in the administrative territorial entity', 'contains the administrative territorial entity', 'capital of', 'different from', 'location', 'category combines topics', ""category's main topic"", 'applies to jurisdiction', 'operating area'])","dict_values(['P19', 'P20', 'P47', 'P131', 'P150', 'P1376', 'P1889', 'P276', 'P971', 'P301', 'P1001', 'P2541'])"
Q132821,P509,Which football player's cause of death was murder?,"dict_keys(['cause of death', 'place of death', 'instance of', 'category contains', 'commemorates', 'is a list of', 'category combines topics', 'has use', 'said to be the same as', 'field of this occupation', 'manner of death', 'depicts', 'facet of', 'convicted of', 'participant in', 'item for this sense', 'subclass of', 'objective of project or action', 'domain of saint or deity', ""category's main topic"", 'participant', 'inscription mentions', 'exonerated of', 'perpetrator', 'predicate for', 'field of work', 'occupation', 'killed by', 'significant event', 'named after', 'notable work', 'has cause', 'main subject', 'charge', 'Wikidata property example', 'different from', 'has effect', 'defendant'])","dict_values(['P509', 'P20', 'P31', 'P4224', 'P547', 'P360', 'P971', 'P366', 'P460', 'P425', 'P1196', 'P180', 'P1269', 'P1399', 'P1344', 'P5137', 'P279', 'P3712', 'P2925', 'P301', 'P710', 'P6568', 'P7781', 'P8031', 'P9970', 'P101', 'P106', 'P157', 'P793', 'P138', 'P800', 'P828', 'P921', 'P1595', 'P1855', 'P1889', 'P1542', 'P1591'])"
Q93204,P136,What is an example of a documentary film?,"dict_keys(['depicts', 'subclass of', 'instance of', ""category's main topic"", 'field of work', 'occupation', 'movement', 'genre', 'significant event', 'interested in', 'main subject', 'item for this sense', 'product or material produced', 'subject has role', 'category contains', 'facet of', 'category combines topics', 'is a list of', 'industry', 'field of this occupation', 'opposite of', 'form of creative work'])","dict_values(['P180', 'P279', 'P31', 'P301', 'P101', 'P106', 'P135', 'P136', 'P793', 'P2650', 'P921', 'P5137', 'P1056', 'P2868', 'P4224', 'P1269', 'P971', 'P360', 'P452', 'P425', 'P461', 'P7937'])"
Q580,P19,What actor was born in lodz,"dict_keys(['place of birth', 'depicts', 'twinned administrative body', 'location', 'place of publication', ""category's main topic"", 'place of death', 'residence', 'location of formation', 'narrative location', 'filming location', 'main subject', 'work location', 'place served by transport hub', 'place of detention', 'category combines topics', 'facet of', 'applies to jurisdiction', ""Wikimedia portal's main topic"", 'destination point', 'start point', 'primary destinations', 'located in the ecclesiastical territorial entity', 'item for this sense', 'capital', 'place of burial', 'shares border with', 'located in the administrative territorial entity', 'owned by', 'headquarters location', 'named after', 'contains the administrative territorial entity'])","dict_values(['P19', 'P180', 'P190', 'P276', 'P291', 'P301', 'P20', 'P551', 'P740', 'P840', 'P915', 'P921', 'P937', 'P931', 'P2632', 'P971', 'P1269', 'P1001', 'P1204', 'P1444', 'P1427', 'P1302', 'P5607', 'P5137', 'P36', 'P119', 'P47', 'P131', 'P127', 'P159', 'P138', 'P150'])"
Q1090769,P196,what member of asteroid group is 8668 satomimura a part of,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q128758,P136,what is a satire film from 1969?,"dict_keys(['item for this sense', 'instance of', 'field of work', 'genre', 'movement', 'subclass of', 'depicts', ""category's main topic"", 'field of this occupation', 'main subject', 'facet of', 'uses', 'category combines topics', 'has use', 'political ideology', 'occupation', 'political alignment', 'has quality'])","dict_values(['P5137', 'P31', 'P101', 'P136', 'P135', 'P279', 'P180', 'P301', 'P425', 'P921', 'P1269', 'P2283', 'P971', 'P366', 'P1142', 'P106', 'P1387', 'P1552'])"
Q5363152,P21,What gender is elizabeth malecki,dict_keys([]),dict_values([])
Q6422107,P136,what genre is knife edge,dict_keys([]),dict_values([])
Q974466,P119,where was  james gillespie buried,dict_keys([]),dict_values([])
Q1342,P19,who was born in pittsburgh,"dict_keys(['has part(s)', 'enclave within', 'depicts', 'residence', 'place of birth', 'twinned administrative body', 'location', 'located in the administrative territorial entity', 'place of death', 'terminus', 'terminus location', 'location of first performance', 'place of publication', 'work location', 'narrative location', ""category's main topic"", 'inspired by', 'location of formation', 'category combines topics', 'parent organization', 'applies to jurisdiction', 'filming location', 'operating area', 'merged into', 'operator', 'named after', 'contains the administrative territorial entity', 'headquarters location', 'capital', 'shares border with', 'place of burial', 'maintained by', 'owned by', 'main subject', 'place served by transport hub', 'conferred by', 'location of creation', ""Wikimedia portal's main topic"", 'facet of', 'licensed to broadcast to', 'start point', 'destination point', 'different from', 'significant place'])","dict_values(['P527', 'P501', 'P180', 'P551', 'P19', 'P190', 'P276', 'P131', 'P20', 'P559', 'P609', 'P4647', 'P291', 'P937', 'P840', 'P301', 'P941', 'P740', 'P971', 'P749', 'P1001', 'P915', 'P2541', 'P7888', 'P137', 'P138', 'P150', 'P159', 'P36', 'P47', 'P119', 'P126', 'P127', 'P921', 'P931', 'P1027', 'P1071', 'P1204', 'P1269', 'P1408', 'P1427', 'P1444', 'P1889', 'P7153'])"
Q4906481,P136,is big sugar a blues or contemporary rhythm and blues album,dict_keys(['follows']),dict_values(['P155'])
Q17361420,P21,lannie balcom self-identifies as which gender?,dict_keys(['has part(s)']),dict_values(['P527'])
Q7351133,P413,which position does robert williams play in american football,dict_keys([]),dict_values([])
Q6607,P1303,who is an instrumentalist that plays the guitar,"dict_keys(['subclass of', 'part of', 'is a list of', 'has part(s)', 'has use', 'depicts', 'said to be the same as', ""category's main topic"", 'instance of', 'instrumentation', 'main subject', 'instrument', 'product or material produced', 'category combines topics', 'carries scientific instrument', 'occupation', 'field of work', 'item operated', 'named after', 'genre', 'based on', 'permanent duplicated item', 'uses', 'item for this sense', 'partially coincident with', 'template has topic', 'different from'])","dict_values(['P279', 'P361', 'P360', 'P527', 'P366', 'P180', 'P460', 'P301', 'P31', 'P870', 'P921', 'P1303', 'P1056', 'P971', 'P1202', 'P106', 'P101', 'P121', 'P138', 'P136', 'P144', 'P2959', 'P2283', 'P5137', 'P1382', 'P1423', 'P1889'])"
Q15378683,P136,What is the genre of the film alaska,dict_keys([]),dict_values([])
Q7723204,P50,Who wrote the book the city in the autumn stars,"dict_keys(['followed by', 'edition or translation of'])","dict_values(['P156', 'P629'])"
Q193752,P40,"Who was a parent of john of gaunt, 1st duke of lancaster","dict_keys(['father', 'child', 'signatory', 'sibling', 'spouse', 'owned by', 'characters', 'main subject'])","dict_values(['P22', 'P40', 'P1891', 'P3373', 'P26', 'P127', 'P674', 'P921'])"
Q5106113,P27,chris cash is what nationality,dict_keys([]),dict_values([])
Q3088054,P136,Which netflix genre is love on a diet from,dict_keys([]),dict_values([])
Q980200,P1303,which music instrument is played by mike nock,"dict_keys(['performer', 'participant'])","dict_values(['P175', 'P710'])"
Q710247,P413,leo durocher is what in relation to baseball?,"dict_keys(['spouse', 'depicts', 'characters', 'main subject'])","dict_values(['P26', 'P180', 'P674', 'P921'])"
Q2377261,P364,in what language is the the law is the law film spoken,dict_keys([]),dict_values([])
Q718562,P61,who discovered 6945 dahlgren,"dict_keys(['followed by', 'follows'])","dict_values(['P156', 'P155'])"
Q637190,P136,What genre is the tv program code lyoko,"dict_keys(['follows', 'based on', 'performer', 'part of the series', ""category's main topic"", 'present in work', 'product or material produced'])","dict_values(['P155', 'P144', 'P175', 'P179', 'P301', 'P1441', 'P1056'])"
Q5497332,P27,Where is frederick baldwin adams from?,"dict_keys(['spouse', 'father'])","dict_values(['P26', 'P22'])"
