qid,target_relation,questions,relation_id,relation_labels
Q3071,P136,Who's a punk rock musician in the dictators,"dict_keys(['field of work', 'genre', 'movement', 'subclass of', 'influenced by', ""category's main topic"", 'main subject', 'category combines topics', 'different from', 'template has topic', ""Wikimedia portal's main topic"", 'interested in', 'item for this sense', 'named after', 'performer'])","dict_values(['P101', 'P136', 'P135', 'P279', 'P737', 'P301', 'P921', 'P971', 'P1889', 'P1423', 'P1204', 'P2650', 'P5137', 'P138', 'P175'])"
Q5127807,P136,In what netflix genre is clash found?,dict_keys([]),dict_values([])
Q1018565,P19,Who is a notable figure from smethwick,"dict_keys(['place of birth', 'place of death', 'headquarters location', 'main subject', 'located in the administrative territorial entity', 'location', 'location of formation', 'residence', 'work location', 'category combines topics', ""category's main topic""])","dict_values(['P19', 'P20', 'P159', 'P921', 'P131', 'P276', 'P740', 'P551', 'P937', 'P971', 'P301'])"
Q280658,P413,What is the name of a notable soccer forward,"dict_keys(['position played on team / speciality', 'position held', 'subclass of', 'located in the administrative territorial entity', ""category's main topic"", 'fictional analog of', 'item for this sense', 'opposite of'])","dict_values(['P413', 'P39', 'P279', 'P131', 'P301', 'P1074', 'P5137', 'P461'])"
Q5344793,P19,Where in the US was edward payson van duzee born,"dict_keys(['author', 'main subject', 'sibling'])","dict_values(['P50', 'P921', 'P3373'])"
Q1144212,P136,what is the musical genre of the album immortalis,"dict_keys(['follows', 'different from'])","dict_values(['P155', 'P1889'])"
Q3415590,P57,who directed the film adventures of don quixote,"dict_keys(['said to be the same as', 'derivative work'])","dict_values(['P460', 'P4969'])"
Q7679342,P136,what kind of subject does the tales of pain and wonder book illustrate,dict_keys([]),dict_values([])
Q7150920,P21,What is the gender of paul glover?,dict_keys(['cast member']),dict_values(['P161'])
Q157065,P276,What battle occurred in the city of kerch,"dict_keys(['place of birth', 'place of death', 'located in the administrative territorial entity', 'place of burial', 'employer', 'capital', 'named after', 'twinned administrative body', 'location of formation', 'winner', 'home port', 'contains the administrative territorial entity', 'headquarters location', 'applies to jurisdiction', 'primary destinations', 'location', 'main subject', 'work location', 'has part(s)', 'residence', 'category combines topics', 'facet of', 'significant place', 'place of publication', ""category's main topic""])","dict_values(['P19', 'P20', 'P131', 'P119', 'P108', 'P36', 'P138', 'P190', 'P740', 'P1346', 'P504', 'P150', 'P159', 'P1001', 'P1302', 'P276', 'P921', 'P937', 'P527', 'P551', 'P971', 'P1269', 'P7153', 'P291', 'P301'])"
Q16348215,P136,what kind of program is ape escape,dict_keys([]),dict_values([])
Q313764,P495,what country is the film the tin drum filmed in?,"dict_keys(['present in work', 'different from', 'derivative work'])","dict_values(['P1441', 'P1889', 'P4969'])"
Q4657601,P136,what kind of film is a knight of the range,dict_keys([]),dict_values([])
Q317427,P676,What is the name of a song donovan wrote the lyrics for?,"dict_keys(['composer', 'screenwriter', 'followed by', 'father', 'cast member', 'follows', 'performer', 'producer', 'lyrics by', 'student of', 'participant', 'family name', 'different from', ""category's main topic"", 'category combines topics'])","dict_values(['P86', 'P58', 'P156', 'P22', 'P161', 'P155', 'P175', 'P162', 'P676', 'P1066', 'P710', 'P734', 'P1889', 'P301', 'P971'])"
Q10471585,P19,in which polish city was helmut dudek born,dict_keys([]),dict_values([])
Q2739268,P1303,what instrument does doug gillard play,"dict_keys(['performer', 'has part(s)', 'participant'])","dict_values(['P175', 'P527', 'P710'])"
Q2038538,P21,Was Ştefan iordache a male or female,dict_keys(['cast member']),dict_values(['P161'])
Q888189,P19,Where was bob plager born?,dict_keys(['sibling']),dict_values(['P3373'])
Q1548477,P112,Who is the founder of the rocketplane kistler?,dict_keys([]),dict_values([])
Q1624932,P119,who is a philanthropist buried in hollywood forever cemetery,"dict_keys(['place of burial', ""category's main topic"", 'category combines topics'])","dict_values(['P119', 'P301', 'P971'])"
Q109612,P264,who is the record label of the artist thelonious monk?,"dict_keys(['composer', 'father', 'named after', 'performer', 'cast member', 'depicts', 'influenced by', ""category's main topic"", 'category combines topics', 'main subject', 'relative', 'different from', 'template has topic', 'significant person'])","dict_values(['P86', 'P22', 'P138', 'P175', 'P161', 'P180', 'P737', 'P301', 'P971', 'P921', 'P1038', 'P1889', 'P1423', 'P3342'])"
Q200092,P136,What's a horror movie starring  rod sweitzer,"dict_keys(['has part(s)', 'instance of', 'is a list of', 'subclass of', 'industry', 'genre', ""category's main topic"", 'references work, tradition or theory', ""topic's main category"", 'main subject', 'category combines topics', 'template has topic', 'facet of', 'category contains', 'item for this sense', 'model item'])","dict_values(['P527', 'P31', 'P360', 'P279', 'P452', 'P136', 'P301', 'P8371', 'P910', 'P921', 'P971', 'P1423', 'P1269', 'P4224', 'P5137', 'P5869'])"
Q3809868,P413,what position does jon midttun lie play in football,dict_keys([]),dict_values([])
Q1568875,P276,where did 1986 world series took place in?,"dict_keys([""category's main topic""])",dict_values(['P301'])
Q761519,P1431,who was the executive producer of sinister?,dict_keys(['follows']),dict_values(['P155'])
Q920216,P136,What genre of music is alkaline trio/hot water music split cd?,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q1340065,P364,which language is spoken in x-men,"dict_keys(['derivative work', 'followed by', 'present in work', 'follows', ""category's main topic"", 'part of the series', 'notable work'])","dict_values(['P4969', 'P156', 'P1441', 'P155', 'P301', 'P179', 'P800'])"
Q361,P607,which politician was involved in world war i?,"dict_keys(['part of', 'cause of death', 'commemorates', 'has part(s)', 'history of topic', 'main subject', 'time period', 'has use', 'set in period', 'permanent duplicated item', 'part of the series', 'depicts', 'subclass of', ""category's main topic"", 'significant event', 'participant', 'place of death', 'instance of', 'dedicated to', 'has cause', 'field of work', 'narrative location', 'genre', 'named after', 'follows', 'conflict', 'category combines topics', 'manner of death', ""Wikimedia portal's main topic"", 'facet of', 'valid in period', 'participant in', 'inscription mentions', 'commander of (DEPRECATED)', 'contributing factor of', 'immediate cause of', 'template has topic', 'has contributing factor', 'Wikidata property example', 'has effect', 'end cause'])","dict_values(['P361', 'P509', 'P547', 'P527', 'P2184', 'P921', 'P2348', 'P366', 'P2408', 'P2959', 'P179', 'P180', 'P279', 'P301', 'P793', 'P710', 'P20', 'P31', 'P825', 'P828', 'P101', 'P840', 'P136', 'P138', 'P155', 'P607', 'P971', 'P1196', 'P1204', 'P1269', 'P1264', 'P1344', 'P6568', 'P598', 'P1537', 'P1536', 'P1423', 'P1479', 'P1855', 'P1542', 'P1534'])"
Q133357,P136,What is the netflix genre of daniels daughter?,dict_keys([]),dict_values([])
Q7697460,P175,What musician is featured in tell me something: the songs of mose allison,"dict_keys(['followed by', 'follows'])","dict_values(['P156', 'P155'])"
Q3120881,P136,What genre is newton abbot demo,dict_keys(['followed by']),dict_values(['P156'])
Q7231179,P112,who were the founders of the organization port of london authority,"dict_keys(['owned by', 'occupant', 'maintained by', 'employer'])","dict_values(['P127', 'P466', 'P126', 'P108'])"
Q1001942,P19,Who was born in oakham,"dict_keys(['place of birth', 'place of death', 'shares border with', 'located in the administrative territorial entity', 'headquarters location', 'location', 'applies to jurisdiction', 'named after', 'twinned administrative body', ""category's main topic"", 'terminus', 'start point'])","dict_values(['P19', 'P20', 'P47', 'P131', 'P159', 'P276', 'P1001', 'P138', 'P190', 'P301', 'P559', 'P1427'])"
Q2164354,P276,where is the seven mile bridge?,dict_keys([]),dict_values([])
Q5946635,P19,what is the birth place of mohammad-reza davoudnejad,"dict_keys(['cast member', 'sibling'])","dict_values(['P161', 'P3373'])"
Q6139441,P20,Where did ulf johanson perish,dict_keys(['cast member']),dict_values(['P161'])
Q180268,P136,who sings gospel music,"dict_keys(['genre', 'item for this sense', 'field of work', 'subclass of', 'radio format', 'main subject', 'facet of', ""category's main topic"", 'category combines topics', 'instance of', 'field of this occupation', 'influenced by', 'occupation', 'commemorates', 'industry', 'gender of a scientific name of a genus'])","dict_values(['P136', 'P5137', 'P101', 'P279', 'P415', 'P921', 'P1269', 'P301', 'P971', 'P31', 'P425', 'P737', 'P106', 'P547', 'P452', 'P2433'])"
Q654987,P136,what types of music is three ringz,"dict_keys(['part of', 'follows', 'followed by'])","dict_values(['P361', 'P155', 'P156'])"
Q6123464,P364,What language is spoken in jai shiv shankar,dict_keys([]),dict_values([])
Q16949302,P136,what kind of music does love fungus play?,dict_keys([]),dict_values([])
Q841241,P19,which brazilian actress was born in limeira?,"dict_keys(['place of birth', 'place of death', 'located in the administrative territorial entity', 'location', 'applies to jurisdiction', 'residence', 'shares border with', 'headquarters location', 'depicts', ""category's main topic"", 'category combines topics', 'location of formation'])","dict_values(['P19', 'P20', 'P131', 'P276', 'P1001', 'P551', 'P47', 'P159', 'P180', 'P301', 'P971', 'P740'])"
Q1165777,P136,Name an artist from the uk garage scene,"dict_keys(['genre', 'field of work', 'item for this sense', 'based on', 'subclass of', ""category's main topic"", 'influenced by'])","dict_values(['P136', 'P101', 'P5137', 'P144', 'P279', 'P301', 'P737'])"
Q1048902,P413,whats the name of a former baseball pitcher,"dict_keys(['position played on team / speciality', 'participant', 'occupation', 'position held', 'has part(s)', 'depicts', ""category's main topic"", 'subclass of', 'item for this sense'])","dict_values(['P413', 'P710', 'P106', 'P39', 'P527', 'P180', 'P301', 'P279', 'P5137'])"
Q188534,P136,Name an artist within the grindcore genre?,"dict_keys(['field of work', 'genre', 'subclass of', ""category's main topic"", 'category combines topics'])","dict_values(['P101', 'P136', 'P279', 'P301', 'P971'])"
Q7561411,P175,which artist released songs for wandering souls?,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q6112380,P20,Where did jack evans die?,dict_keys([]),dict_values([])
Q5431513,P136,In which country was the fakers movie released,dict_keys([]),dict_values([])
Q1047938,P136,which genre is guitar hero iii under?,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q21590660,P136,What is a movie in the western (genre) film genre?,"dict_keys(['genre', 'item for this sense', 'field of work', 'subclass of', 'different from', 'instance of', 'depicts', 'main subject', 'interested in', ""category's main topic""])","dict_values(['P136', 'P5137', 'P101', 'P279', 'P1889', 'P31', 'P180', 'P921', 'P2650', 'P301'])"
Q2796607,P178,who developed the computer game ikari warriors,"dict_keys(['present in work', 'first appearance', 'part of the series'])","dict_values(['P1441', 'P4584', 'P179'])"
Q7377616,P136,what type of music does rudy grant play,dict_keys([]),dict_values([])
Q5522848,P19,where was  gareth grant born,dict_keys([]),dict_values([])
Q1607137,P413,What basketball player played point forward?,dict_keys(['position played on team / speciality']),dict_values(['P413'])
Q5390,P421,What location is in the UTC-5 time zone?,"dict_keys(['located in time zone', 'Wikidata property example', 'follows', 'said to be the same as'])","dict_values(['P421', 'P1855', 'P155', 'P460'])"
Q1175237,P136,Which genre of music does dave liebman perform?,"dict_keys(['performer', 'participant', 'category combines topics', 'student of'])","dict_values(['P175', 'P710', 'P971', 'P1066'])"
Q6314387,P175,who was the artist that released the album juntos otra vez,"dict_keys(['follows', 'has part(s)'])","dict_values(['P155', 'P527'])"
Q234169,P136,what kind of music does irene cara perform,"dict_keys(['cast member', 'performer', 'spouse', 'lyrics by', ""category's main topic"", 'category combines topics', 'voice actor', 'template has topic', 'influenced by'])","dict_values(['P161', 'P175', 'P26', 'P676', 'P301', 'P971', 'P725', 'P1423', 'P737'])"
Q2081510,P123,what company does produce sonic advance,"dict_keys(['has part(s)', 'present in work'])","dict_values(['P527', 'P1441'])"
Q941927,P57,who directed michael jackson: video greatest hits - history,"dict_keys(['follows', 'followed by', 'part of'])","dict_values(['P155', 'P156', 'P361'])"
Q1054233,P136,what music is db boulevard known for?,"dict_keys(['performer', 'producer'])","dict_values(['P175', 'P162'])"
Q472794,P179,which film series is ator l'invincibile in?,"dict_keys(['has part(s)', 'follows'])","dict_values(['P527', 'P155'])"
Q2991876,P86,who composed the song violin concerto,dict_keys(['recording or performance of']),dict_values(['P2550'])
Q1251457,P495,what country is the film double platinum in?,dict_keys([]),dict_values([])
Q4346922,P136,what kind of fictional book is behold the man,dict_keys(['edition or translation of']),dict_values(['P629'])
Q3453655,P264,who is signed with ruthless records (chicago)?,"dict_keys(['record label', 'category combines topics'])","dict_values(['P264', 'P971'])"
Q5099707,P676,who is the lyricist of china grove?,dict_keys(['follows']),dict_values(['P155'])
Q90472,P21,What is Hella Pick's gender?,dict_keys([]),dict_values([])
Q981976,P170,roy thomas created this fictional character.,"dict_keys(['creator', 'screenwriter', 'author', 'spouse', 'director', 'editor', 'influenced by'])","dict_values(['P170', 'P58', 'P50', 'P26', 'P57', 'P98', 'P737'])"
Q3722,P21,What is the gender of c.k. vineeth,dict_keys([]),dict_values([])
Q241767,P19,Name a person born in plasencia,"dict_keys(['place of birth', 'place of death', 'shares border with', 'located in the administrative territorial entity', 'twinned administrative body', 'headquarters location', 'location of formation', 'significant place', 'has part(s)', 'residence', 'start point', 'category combines topics', 'location', 'work location', ""category's main topic"", 'applies to jurisdiction', 'facet of'])","dict_values(['P19', 'P20', 'P47', 'P131', 'P190', 'P159', 'P740', 'P7153', 'P527', 'P551', 'P1427', 'P971', 'P276', 'P937', 'P301', 'P1001', 'P1269'])"
Q472271,P136,what type of movie is owning mahowny,dict_keys([]),dict_values([])
Q15975,P737,What philosopher influenced montesquieu,"dict_keys(['named after', 'father', 'main subject', 'author', 'spouse', 'employer', 'field of work', 'depicts', 'influenced by', 'characters', ""category's main topic"", 'relative', 'different from', 'officeholder'])","dict_values(['P138', 'P22', 'P921', 'P50', 'P26', 'P108', 'P101', 'P180', 'P737', 'P674', 'P301', 'P1038', 'P1889', 'P1308'])"
Q156193,P737,who was pierre boulez influenced by?,"dict_keys(['composer', 'founded by', 'performer', ""category's main topic"", 'student of', 'influenced by', 'named after', 'category combines topics', 'winner', 'musical conductor'])","dict_values(['P86', 'P112', 'P175', 'P301', 'P1066', 'P737', 'P138', 'P971', 'P1346', 'P3300'])"
Q4952694,P136,what kinda of music does boys with x ray eyes play,dict_keys([]),dict_values([])
Q5130297,P413,which soccer position does clayton mcdonald play,dict_keys([]),dict_values([])
Q157443,P136,what is a tv comedy,"dict_keys(['subclass of', 'instance of', 'said to be the same as', 'genre', 'field of work', ""category's main topic"", 'main subject', 'category combines topics', 'item for this sense', 'category contains', 'facet of', 'different from'])","dict_values(['P279', 'P31', 'P460', 'P136', 'P101', 'P301', 'P921', 'P971', 'P5137', 'P4224', 'P1269', 'P1889'])"
Q3503645,P175,What artist made to know that you're alive,"dict_keys(['followed by', 'follows'])","dict_values(['P156', 'P155'])"
Q7754435,P136,is the notorious mrs. carrick a crime fiction or comedy film,dict_keys([]),dict_values([])
Q1070468,P364,what language was the immigrant filmed in?,"dict_keys(['different from', 'category combines topics'])","dict_values(['P1889', 'P971'])"
Q3470531,P57,What is one film that sam newfield was the director for?,"dict_keys(['director', 'screenwriter', 'producer', 'director of photography', 'category combines topics'])","dict_values(['P57', 'P58', 'P162', 'P344', 'P971'])"
Q379671,P136,What would be called a post-grunge album,"dict_keys(['genre', ""category's main topic""])","dict_values(['P136', 'P301'])"
Q11399,P136,who is a rock music artist?,"dict_keys(['depicts', 'field of work', 'record label', 'genre', 'subclass of', 'occupation', 'movement', 'is metaclass for', 'is a list of', 'part of', 'radio format', 'influenced by', 'interested in', 'field of this occupation', 'notable work', 'main subject', 'category combines topics', ""Wikimedia portal's main topic"", 'facet of', 'template has topic', 'item for this sense', 'has quality', 'Wikidata property example', ""category's main topic"", 'named after', 'based on'])","dict_values(['P180', 'P101', 'P264', 'P136', 'P279', 'P106', 'P135', 'P8225', 'P360', 'P361', 'P415', 'P737', 'P2650', 'P425', 'P800', 'P921', 'P971', 'P1204', 'P1269', 'P1423', 'P5137', 'P1552', 'P1855', 'P301', 'P138', 'P144'])"
Q2086913,P421,What is the name of a town in the north american central time zone?,"dict_keys(['part of', 'located in time zone'])","dict_values(['P361', 'P421'])"
Q469892,P509,how did troy anthony davis die?,dict_keys([]),dict_values([])
Q838368,P136,what are some black-and-white films?,"dict_keys(['opposite of', 'color', 'subclass of', 'depicts', ""category's main topic"", 'illustrator', 'genre', 'instance of', 'category combines topics', 'follows', 'used by', 'Wikidata property example', 'different from', 'has quality', 'form of creative work', 'official color'])","dict_values(['P461', 'P462', 'P279', 'P180', 'P301', 'P110', 'P136', 'P31', 'P971', 'P155', 'P1535', 'P1855', 'P1889', 'P1552', 'P7937', 'P6364'])"
Q1174631,P136,what type of music is the album earthshaker?,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q7719044,P136,what kind of tv program is the bold ones: the senator,dict_keys(['has part(s)']),dict_values(['P527'])
Q1768202,P136,which genre of music does the code is red... long live the code belong to?,"dict_keys(['followed by', 'follows'])","dict_values(['P156', 'P155'])"
Q1050571,P413,who is a known baseball catcher,"dict_keys(['position played on team / speciality', 'occupation', 'participant', 'has cause', 'item for this sense', ""category's main topic""])","dict_values(['P413', 'P106', 'P710', 'P828', 'P5137', 'P301'])"
Q8026492,P136,What kind of album is winternight tragedies,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q3285588,P136,The album dimensions is in what musical genre?,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q168383,P272,what film was produced by universal studios,"dict_keys(['employer', 'production company', 'followed by', 'record label', 'producer', 'has subsidiary', 'distributed by', 'parent organization', 'filming location', 'different from', 'copyright holder', ""category's main topic"", 'owned by', 'original broadcaster', 'destination point', 'publisher', 'category combines topics', 'developer', 'participant', 'part of', 'founded by', 'main subject', 'location', 'narrative location', 'plaintiff'])","dict_values(['P108', 'P272', 'P156', 'P264', 'P162', 'P355', 'P750', 'P749', 'P915', 'P1889', 'P3931', 'P301', 'P127', 'P449', 'P1444', 'P123', 'P971', 'P178', 'P710', 'P361', 'P112', 'P921', 'P276', 'P840', 'P1620'])"
Q37073,P136,who are a well known UK based  pop music band,"dict_keys(['has part(s)', 'field of work', 'genre', 'subclass of', 'movement', 'occupation', 'said to be the same as', 'part of', 'field of this occupation', 'radio format', 'opposite of', 'member of', ""category's main topic"", 'main subject', 'category combines topics', 'influenced by', 'facet of', 'inspired by', 'item for this sense', 'template has topic', 'different from', 'instrument', 'interested in', 'based on'])","dict_values(['P527', 'P101', 'P136', 'P279', 'P135', 'P106', 'P460', 'P361', 'P425', 'P415', 'P461', 'P463', 'P301', 'P921', 'P971', 'P737', 'P1269', 'P941', 'P5137', 'P1423', 'P1889', 'P1303', 'P2650', 'P144'])"
Q3641382,P1303,What's an instrument that bobby blotzer plays,dict_keys([]),dict_values([])
Q127043,P19,who was born in garmisch-partenkirchen,"dict_keys(['place of birth', 'place of death', 'place of burial', 'shares border with', 'located in the administrative territorial entity', 'location', 'capital', 'twinned administrative body', 'contains the administrative territorial entity', 'named after', 'headquarters location', 'work location', 'main subject', 'narrative location', ""category's main topic"", 'filming location', 'capital of', 'category combines topics', 'location of formation', 'winner', 'residence', 'place of publication', 'start point', 'has part(s)', 'terminus location', 'destination point'])","dict_values(['P19', 'P20', 'P119', 'P47', 'P131', 'P276', 'P36', 'P190', 'P150', 'P138', 'P159', 'P937', 'P921', 'P840', 'P301', 'P915', 'P1376', 'P971', 'P740', 'P1346', 'P551', 'P291', 'P1427', 'P527', 'P609', 'P1444'])"
Q2165980,P136,what type of music does the beat play,"dict_keys(['performer', 'founded by', 'part of', 'member of', 'influenced by', 'category combines topics'])","dict_values(['P175', 'P112', 'P361', 'P463', 'P737', 'P971'])"
Q269841,P136,What kind of music does cássia eller make?,"dict_keys(['mother', 'performer', ""category's main topic"", 'category combines topics'])","dict_values(['P25', 'P175', 'P301', 'P971'])"
Q7403292,P21,what is sal marchiano's gender identity,dict_keys([]),dict_values([])
Q193592,P413,what footballer plays the midfielder position,"dict_keys(['part of', 'position played on team / speciality', 'subclass of', 'position held', 'occupation', 'field of work', 'place of birth', ""category's main topic"", 'given name', 'item for this sense'])","dict_values(['P361', 'P413', 'P279', 'P39', 'P106', 'P101', 'P19', 'P301', 'P735', 'P5137'])"
Q628479,P170,which program did terry nation create,"dict_keys(['screenwriter', 'author', 'producer', 'creator'])","dict_values(['P58', 'P50', 'P162', 'P170'])"
Q3332956,P264,what label is melissa nkonda a part of,dict_keys(['performer']),dict_values(['P175'])
Q6303539,P27,Which country is judith lucy from?,"dict_keys(['cast member', 'sibling'])","dict_values(['P161', 'P3373'])"
Q3061565,P27,Where is evgueni galperine from?,"dict_keys(['child', 'composer', 'cast member', 'has part(s)', 'partner in business or sport'])","dict_values(['P40', 'P86', 'P161', 'P527', 'P1327'])"
Q5305465,P495,what country does the movie dragonworld: the legend continues come from,dict_keys(['follows']),dict_values(['P155'])
Q280715,P19,what city was letitia baldrige born in,dict_keys([]),dict_values([])
Q1166158,P136,who is a dark cabaret artist,"dict_keys(['genre', ""category's main topic""])","dict_values(['P136', 'P301'])"
Q234568,P40,"who is son of maria theresa of austria, queen of sardinia","dict_keys(['mother', 'spouse', 'child', 'main subject', 'different from', 'sibling'])","dict_values(['P25', 'P26', 'P40', 'P921', 'P1889', 'P3373'])"
Q3334419,P123,who published nhl 2004,dict_keys([]),dict_values([])
Q3840097,P21,Is luigi rosa female or male?,dict_keys(['different from']),dict_values(['P1889'])
Q205560,P136,What is the only trip hop studio album by Frou Frou?,"dict_keys(['genre', 'category combines topics', ""category's main topic"", 'influenced by', 'subclass of', 'field of work'])","dict_values(['P136', 'P971', 'P301', 'P737', 'P279', 'P101'])"
Q8029786,P136,What musical classification is wolf & butterfly,"dict_keys(['follows', 'followed by'])","dict_values(['P155', 'P156'])"
Q2468872,P136,what type of film is the butterfly lovers?,dict_keys([]),dict_values([])
Q772148,P413,who was a starting pitcher for the cardinals,"dict_keys(['subclass of', 'follows', 'position played on team / speciality', 'different from'])","dict_values(['P279', 'P155', 'P413', 'P1889'])"
Q1229434,P20,what is elton watkins's final resting place,dict_keys([]),dict_values([])
Q7176487,P19,where was peter quilter born,"dict_keys(['librettist', 'author'])","dict_values(['P87', 'P50'])"
Q429984,P27,What is Immodesty Blaize's nationality?,dict_keys([]),dict_values([])
Q1393182,P21,what gender is  ali sadikin,dict_keys([]),dict_values([])
Q55393,P57,What movie is jacques tourneur credited as a director for,"dict_keys(['director', 'child', 'cast member', 'film editor', 'discoverer or inventor', 'category combines topics', 'main subject'])","dict_values(['P57', 'P40', 'P161', 'P1040', 'P61', 'P971', 'P921'])"
Q3041660,P136,which film genre is dusk to dawn,dict_keys([]),dict_values([])
Q43200,P136,what's a film under the bisexuality category on netflix,"dict_keys(['item for this sense', 'sexual orientation', 'named after', 'field of work', 'main subject', 'facet of', 'subclass of', 'significant event', 'depicts', 'intended public', 'different from', 'represents', ""category's main topic"", 'category combines topics', 'has quality', 'said to be the same as', 'commemorates', 'genre', 'definition domain'])","dict_values(['P5137', 'P91', 'P138', 'P101', 'P921', 'P1269', 'P279', 'P793', 'P180', 'P2360', 'P1889', 'P1268', 'P301', 'P971', 'P1552', 'P460', 'P547', 'P136', 'P1568'])"
Q7250226,P364,what language is spoken in property virgins,dict_keys([]),dict_values([])
Q7799025,P136,What genre is thunder rock,dict_keys([]),dict_values([])
Q7408276,P21,what is sam venuto's sex?,dict_keys([]),dict_values([])
Q174481,P404,what type of game is doki doki majo shinpan!,"dict_keys(['part of the series', 'follows'])","dict_values(['P179', 'P155'])"
Q7539447,P413,what position does  slavko pavletić play,dict_keys([]),dict_values([])
Q144,P171,what are some dog breeds?,"dict_keys(['item for this sense', 'named after', 'depicts', 'instance of', 'subclass of', 'made from material', 'main subject', 'main food source', 'Wikidata property example', 'interested in', 'category combines topics', 'commemorates', 'found in taxon', 'facet of', 'is a list of', 'fictional analog of', 'has pet', 'appears in the form of', 'used by', 'has part(s)', 'different from', 'has natural reservoir', 'uses', 'studies', 'field of work', 'based on', 'has use', 'source of energy', 'occupant', 'afflicts', 'inspired by', 'natural product of taxon', 'practiced by', 'cast member', 'has cause', 'is an individual of taxon', 'animal breed', 'ritual object', 'intended public', ""category's main topic"", 'industry', 'narrative motif', 'owner of', 'has part(s) of the class', 'motif represents', 'participant', 'has facility'])","dict_values(['P5137', 'P138', 'P180', 'P31', 'P279', 'P186', 'P921', 'P1034', 'P1855', 'P2650', 'P971', 'P547', 'P703', 'P1269', 'P360', 'P1074', 'P1429', 'P4675', 'P1535', 'P527', 'P1889', 'P1605', 'P2283', 'P2578', 'P101', 'P144', 'P366', 'P618', 'P466', 'P689', 'P941', 'P1582', 'P3095', 'P161', 'P828', 'P10241', 'P4743', 'P8706', 'P2360', 'P301', 'P452', 'P6962', 'P1830', 'P2670', 'P6875', 'P710', 'P912'])"
Q364881,P86,what film is trevor rabin famous for?,"dict_keys(['composer', 'cast member', 'producer', 'performer', 'has part(s)', 'lyrics by', 'category combines topics'])","dict_values(['P86', 'P161', 'P162', 'P175', 'P527', 'P676', 'P971'])"
Q7269154,P364,which language was quark/2 originally written in,"dict_keys(['followed by', 'follows', 'notable work'])","dict_values(['P156', 'P155', 'P800'])"
Q6949146,P495,mythic journeys is a film from what country?,dict_keys([]),dict_values([])
Q214660,P738,What writer was inspired by john fowles,"dict_keys(['author', 'screenwriter', 'depicts', ""category's main topic"", 'influenced by', 'cast member', 'after a work by', 'main subject', 'category combines topics'])","dict_values(['P50', 'P58', 'P180', 'P301', 'P737', 'P161', 'P1877', 'P921', 'P971'])"
Q8062727,P19,where was yūji wakiya born,dict_keys([]),dict_values([])
